Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,0.70502,0.711997,0.692521,0.70932,0.70932,0
1/5/2009,0.715615,0.719424,0.706664,0.714286,0.714286,0
1/6/2009,0.71398,0.726375,0.703977,0.720357,0.720357,0
1/7/2009,0.719994,0.726005,0.709874,0.710278,0.710278,0
1/8/2009,0.710328,0.713419,0.696913,0.711997,0.711997,0
1/9/2009,0.711997,0.711997,0.702001,0.706814,0.706814,0
1/12/2009,0.699007,0.699594,0.678702,0.679532,0.679532,0
1/13/2009,0.679163,0.679302,0.659413,0.667601,0.667601,0
1/14/2009,0.66769,0.680828,0.658501,0.664717,0.664717,0
1/15/2009,0.664717,0.669299,0.654579,0.666578,0.666578,0
1/16/2009,0.66778,0.679209,0.665292,0.671006,0.671006,0
1/19/2009,0.679856,0.683901,0.666001,0.667379,0.667379,0
1/20/2009,0.667379,0.667913,0.645953,0.648887,0.648887,0
1/21/2009,0.649604,0.665646,0.646496,0.658285,0.658285,0
1/22/2009,0.658111,0.661507,0.649899,0.654579,0.654579,0
1/23/2009,0.655008,0.658805,0.642302,0.652316,0.652316,0
1/26/2009,0.652316,0.663218,0.649899,0.661857,0.661857,0
1/27/2009,0.661901,0.670916,0.658198,0.66454,0.66454,0
1/28/2009,0.664894,0.672179,0.660415,0.665203,0.665203,0
1/29/2009,0.665203,0.666001,0.649182,0.650195,0.650195,0
1/30/2009,0.650195,0.650406,0.635001,0.638488,0.638488,0
2/2/2009,0.63589,0.636213,0.625313,0.630517,0.630517,0
2/3/2009,0.630517,0.654279,0.630517,0.64914,0.64914,0
2/4/2009,0.649182,0.652997,0.636213,0.642715,0.642715,0
2/5/2009,0.643087,0.657678,0.641684,0.651763,0.651763,0
2/6/2009,0.651721,0.679995,0.649098,0.675721,0.675721,0
2/9/2009,0.673491,0.684791,0.663482,0.674809,0.674809,0
2/10/2009,0.6749,0.6749,0.649393,0.657203,0.657203,0
2/11/2009,0.657895,0.6595,0.649393,0.654108,0.654108,0
2/12/2009,0.653381,0.660982,0.643791,0.656814,0.656814,0
2/13/2009,0.657419,0.664099,0.653979,0.6595,0.6595,0
2/16/2009,0.652699,0.653894,0.647962,0.652869,0.652869,0
2/17/2009,0.652997,0.652997,0.634196,0.637308,0.637308,0
2/18/2009,0.637186,0.642797,0.634719,0.639304,0.639304,0
2/19/2009,0.639182,0.65189,0.6391,0.644288,0.644288,0
2/20/2009,0.644995,0.649266,0.636011,0.646204,0.646204,0
2/23/2009,0.644787,0.654793,0.640656,0.640656,0.640656,0
2/24/2009,0.640697,0.653851,0.639427,0.652401,0.652401,0
2/25/2009,0.651806,0.65548,0.645786,0.646998,0.646998,0
2/26/2009,0.646789,0.654707,0.646412,0.646914,0.646914,0
2/27/2009,0.646998,0.647794,0.634759,0.642219,0.642219,0
3/2/2009,0.634397,0.63804,0.628417,0.629485,0.629485,0
3/3/2009,0.629683,0.646287,0.629683,0.637918,0.637918,0
3/4/2009,0.637836,0.652614,0.629406,0.646998,0.646998,0
3/5/2009,0.64683,0.648382,0.636213,0.639018,0.639018,0
3/6/2009,0.639018,0.64612,0.637389,0.642013,0.642013,0
3/9/2009,0.643087,0.645203,0.630994,0.6348,0.6348,0
3/10/2009,0.6348,0.648761,0.634598,0.648088,0.648088,0
3/11/2009,0.648214,0.652401,0.64082,0.648214,0.648214,0
3/12/2009,0.648298,0.657246,0.641849,0.654151,0.654151,0
3/13/2009,0.654193,0.66011,0.652401,0.658415,0.658415,0
3/16/2009,0.656728,0.664011,0.655093,0.659587,0.659587,0
3/17/2009,0.6595,0.663086,0.657592,0.662998,0.662998,0
3/18/2009,0.663086,0.681385,0.657895,0.67838,0.67838,0
3/19/2009,0.678426,0.694011,0.672585,0.688089,0.688089,0
3/20/2009,0.688184,0.692809,0.685495,0.686813,0.686813,0
3/23/2009,0.691181,0.706015,0.690799,0.704176,0.704176,0
3/24/2009,0.703977,0.70932,0.694107,0.699007,0.699007,0
3/25/2009,0.699301,0.703977,0.69099,0.699007,0.699007,0
3/26/2009,0.699154,0.704176,0.698422,0.702494,0.702494,0
3/27/2009,0.702001,0.703087,0.687616,0.696621,0.696621,0
3/30/2009,0.691276,0.692281,0.677507,0.679995,0.679995,0
3/31/2009,0.679995,0.696816,0.679902,0.691802,0.691802,0
4/1/2009,0.691563,0.699986,0.686813,0.699007,0.699007,0
4/2/2009,0.699105,0.719787,0.697788,0.716949,0.716949,0
4/3/2009,0.717,0.722804,0.707014,0.715001,0.715001,0
4/6/2009,0.717103,0.720721,0.708516,0.711794,0.711794,0
4/7/2009,0.711794,0.717103,0.706614,0.711997,0.711997,0
4/8/2009,0.7122,0.71286,0.70368,0.708115,0.708115,0
4/9/2009,0.708015,0.720305,0.706814,0.718856,0.718856,0
4/10/2009,0.718907,0.721188,0.717721,0.718701,0.718701,0
4/13/2009,0.721917,0.732386,0.720098,0.730514,0.730514,0
4/14/2009,0.73062,0.732118,0.720617,0.723118,0.723118,0
4/15/2009,0.723589,0.729554,0.715001,0.728279,0.728279,0
4/16/2009,0.727908,0.731582,0.714592,0.720617,0.720617,0
4/17/2009,0.720981,0.722804,0.717412,0.722804,0.722804,0
4/20/2009,0.724218,0.724218,0.695797,0.699986,0.699986,0
4/21/2009,0.700133,0.713012,0.697593,0.708868,0.708868,0
4/22/2009,0.709019,0.711744,0.701213,0.707714,0.707714,0
4/23/2009,0.708215,0.715615,0.703581,0.713623,0.713623,0
4/24/2009,0.71347,0.724323,0.711389,0.722126,0.722126,0
4/27/2009,0.717824,0.718907,0.707014,0.707014,0.707014,0
4/28/2009,0.707614,0.709723,0.699447,0.706514,0.706514,0
4/29/2009,0.706314,0.729501,0.705816,0.7249,0.7249,0
4/30/2009,0.7249,0.738007,0.723694,0.726691,0.726691,0
5/1/2009,0.727167,0.734538,0.725479,0.732816,0.732816,0
5/4/2009,0.734214,0.741895,0.731636,0.741125,0.741125,0
5/5/2009,0.740851,0.747775,0.738171,0.740796,0.740796,0
5/6/2009,0.740796,0.750413,0.734107,0.748839,0.748839,0
5/7/2009,0.749288,0.761499,0.746324,0.755059,0.755059,0
5/8/2009,0.755515,0.770713,0.750976,0.76799,0.76799,0
5/11/2009,0.768226,0.770001,0.757174,0.759936,0.759936,0
5/12/2009,0.759994,0.76799,0.756487,0.766107,0.766107,0
5/13/2009,0.766166,0.770475,0.751089,0.753693,0.753693,0
5/14/2009,0.753579,0.761905,0.746993,0.760398,0.760398,0
5/15/2009,0.760398,0.760688,0.748055,0.748783,0.748783,0
5/18/2009,0.749681,0.766812,0.745212,0.76599,0.76599,0
5/19/2009,0.766577,0.778392,0.763301,0.774593,0.774593,0
5/20/2009,0.774773,0.781128,0.768817,0.775194,0.775194,0
5/21/2009,0.775314,0.780214,0.767401,0.778392,0.778392,0
5/22/2009,0.778392,0.78672,0.777484,0.784806,0.784806,0
5/25/2009,0.783085,0.783576,0.777726,0.780823,0.780823,0
5/26/2009,0.779788,0.788395,0.770772,0.788022,0.788022,0
5/27/2009,0.788146,0.789204,0.774893,0.777847,0.777847,0
5/28/2009,0.777907,0.78703,0.776277,0.784191,0.784191,0
5/29/2009,0.784314,0.801796,0.783208,0.801025,0.801025,0
6/1/2009,0.80109,0.815528,0.799424,0.810438,0.810438,0
6/2/2009,0.810307,0.823181,0.805412,0.820681,0.820681,0
6/3/2009,0.820681,0.826515,0.793777,0.802568,0.802568,0
6/4/2009,0.802826,0.808604,0.791515,0.801282,0.801282,0
6/5/2009,0.801218,0.812018,0.792519,0.794407,0.794407,0
6/8/2009,0.793777,0.798977,0.783269,0.790264,0.790264,0
6/9/2009,0.790202,0.804376,0.785669,0.801989,0.801989,0
6/10/2009,0.801925,0.813074,0.797194,0.802375,0.802375,0
6/11/2009,0.802375,0.823723,0.802311,0.820614,0.820614,0
6/12/2009,0.820614,0.821423,0.806907,0.813471,0.813471,0
6/15/2009,0.809848,0.81011,0.790826,0.794029,0.794029,0
6/16/2009,0.793903,0.805672,0.78703,0.792393,0.792393,0
6/17/2009,0.792833,0.799744,0.785484,0.792833,0.792833,0
6/18/2009,0.792833,0.805412,0.791703,0.800576,0.800576,0
6/19/2009,0.800576,0.81182,0.798786,0.805607,0.805607,0
6/22/2009,0.802826,0.802826,0.784621,0.78703,0.78703,0
6/23/2009,0.78703,0.798021,0.77918,0.79447,0.79447,0
6/24/2009,0.793588,0.805737,0.792205,0.797703,0.797703,0
6/25/2009,0.797639,0.804376,0.793714,0.8036,0.8036,0
6/26/2009,0.803471,0.808996,0.803084,0.805412,0.805412,0
6/29/2009,0.806192,0.81011,0.798786,0.81011,0.81011,0
6/30/2009,0.81103,0.815661,0.804182,0.806192,0.806192,0
7/1/2009,0.806062,0.810898,0.802697,0.808996,0.808996,0
7/2/2009,0.8088,0.80952,0.790826,0.792707,0.792707,0
7/3/2009,0.792896,0.800641,0.79233,0.793903,0.793903,0
7/6/2009,0.794407,0.798212,0.788271,0.796115,0.796115,0
7/7/2009,0.796178,0.803923,0.787774,0.788644,0.788644,0
7/8/2009,0.788519,0.789141,0.772678,0.777001,0.777001,0
7/9/2009,0.777605,0.786287,0.775916,0.784929,0.784929,0
7/10/2009,0.784683,0.784991,0.774114,0.77997,0.77997,0
7/13/2009,0.780579,0.78456,0.770416,0.784191,0.784191,0
7/14/2009,0.784191,0.794976,0.781616,0.794029,0.794029,0
7/15/2009,0.793966,0.805477,0.79277,0.802697,0.802697,0
7/16/2009,0.802697,0.807298,0.796305,0.804117,0.804117,0
7/17/2009,0.803988,0.804376,0.797512,0.803213,0.803213,0
7/20/2009,0.814598,0.815395,0.813868,0.814001,0.814001,0
7/21/2009,0.815927,0.816527,0.814996,0.815328,0.815328,0
7/22/2009,0.815528,0.81586,0.815262,0.815461,0.815461,0
7/23/2009,0.815195,0.815195,0.814531,0.814929,0.814929,0
7/24/2009,0.81813,0.81813,0.81813,0.81813,0.81813,0
7/27/2009,0.823045,0.823045,0.821625,0.82203,0.82203,0
7/28/2009,0.82447,0.825491,0.823316,0.823995,0.823995,0
7/29/2009,0.815594,0.816393,0.814598,0.815395,0.815395,0
7/30/2009,0.825219,0.825968,0.82447,0.825014,0.825014,0
7/31/2009,0.835631,0.835631,0.835631,0.835631,0.835631,0
8/3/2009,0.842105,0.843811,0.841609,0.843028,0.843028,0
8/4/2009,0.843882,0.845451,0.843882,0.844809,0.844809,0
8/5/2009,0.841397,0.841822,0.840619,0.840972,0.840972,0
8/6/2009,0.840619,0.841467,0.839983,0.840831,0.840831,0
8/7/2009,0.837381,0.837381,0.837381,0.837381,0.837381,0
8/10/2009,0.83668,0.83668,0.835631,0.83661,0.83661,0
8/11/2009,0.829807,0.830427,0.8296,0.8296,0.8296,0
8/12/2009,0.83382,0.834376,0.833542,0.834376,0.834376,0
8/13/2009,0.841893,0.844737,0.841822,0.843028,0.843028,0
8/14/2009,0.833194,0.833194,0.833194,0.833194,0.833194,0
8/17/2009,0.821423,0.823588,0.821423,0.823181,0.823181,0
8/18/2009,0.826788,0.830427,0.826788,0.830082,0.830082,0
8/19/2009,0.828775,0.830772,0.828706,0.830427,0.830427,0
8/20/2009,0.831808,0.832778,0.83167,0.832431,0.832431,0
8/21/2009,0.834168,0.834168,0.834168,0.834168,0.834168,0
8/24/2009,0.83675,0.837521,0.83675,0.837381,0.837381,0
8/25/2009,0.834725,0.835003,0.833333,0.833403,0.833403,0
8/26/2009,0.828226,0.828569,0.82713,0.827198,0.827198,0
8/27/2009,0.839208,0.840901,0.838926,0.84076,0.84076,0
8/28/2009,0.84168,0.843028,0.84168,0.843028,0.843028,0
8/31/2009,0.843811,0.844523,0.842886,0.842886,0.842886,0
9/1/2009,0.827404,0.827815,0.825628,0.825832,0.825832,0
9/2/2009,0.834794,0.835631,0.834794,0.834794,0.834794,0
9/3/2009,0.840407,0.840407,0.839419,0.839419,0.839419,0
9/4/2009,0.851789,0.851789,0.851789,0.851789,0.851789,0
9/7/2009,0.855945,0.856164,0.855432,0.855432,0.855432,0
9/8/2009,0.86423,0.864828,0.863782,0.863782,0.863782,0
9/9/2009,0.862218,0.86259,0.861401,0.861995,0.861995,0
9/10/2009,0.862738,0.863036,0.862218,0.862366,0.862366,0
9/11/2009,0.863036,0.863036,0.863036,0.863036,0.863036,0
9/14/2009,0.861846,0.862515,0.861401,0.862515,0.862515,0
9/15/2009,0.863483,0.864828,0.863111,0.864379,0.864379,0
9/16/2009,0.872524,0.874355,0.87222,0.87321,0.87321,0
9/17/2009,0.871612,0.871764,0.870625,0.870928,0.870928,0
9/18/2009,0.86798,0.86798,0.86798,0.86798,0.86798,0
9/21/2009,0.863409,0.865351,0.863409,0.864379,0.864379,0
9/22/2009,0.87581,0.878812,0.875427,0.876962,0.876962,0
9/23/2009,0.86783,0.869187,0.866626,0.869187,0.869187,0
9/24/2009,0.86408,0.864828,0.861104,0.863185,0.863185,0
9/25/2009,0.866101,0.866101,0.866101,0.866101,0.866101,0
9/28/2009,0.873515,0.873668,0.872829,0.872905,0.872905,0
9/29/2009,0.872829,0.874126,0.8726,0.87382,0.87382,0
9/30/2009,0.88433,0.884408,0.883626,0.883783,0.883783,0
10/1/2009,0.870171,0.870171,0.867679,0.868432,0.868432,0
10/2/2009,0.866401,0.866401,0.865876,0.865876,0.865876,0
10/5/2009,0.877193,0.877578,0.877193,0.877424,0.877424,0
10/6/2009,0.889996,0.891186,0.889838,0.890631,0.890631,0
10/7/2009,0.890631,0.893575,0.890631,0.893017,0.893017,0
10/8/2009,0.904977,0.904977,0.903179,0.904404,0.904404,0
10/9/2009,0.903914,0.903914,0.903914,0.903914,0.903914,0
10/12/2009,0.907441,0.909587,0.907441,0.908348,0.908348,0
10/13/2009,0.906947,0.907441,0.905633,0.906372,0.906372,0
10/14/2009,0.915164,0.91617,0.915164,0.915835,0.915835,0
10/15/2009,0.921065,0.924642,0.920726,0.924044,0.924044,0
10/16/2009,0.916422,0.916422,0.916422,0.916422,0.916422,0
10/19/2009,0.927816,0.929368,0.927558,0.928419,0.928419,0
10/20/2009,0.923191,0.924984,0.922594,0.924385,0.924385,0
10/21/2009,0.927386,0.927816,0.927042,0.927214,0.927214,0
10/22/2009,0.927816,0.929282,0.92773,0.928764,0.928764,0
10/23/2009,0.922339,0.922339,0.922339,0.922339,0.922339,0
10/26/2009,0.921489,0.927902,0.912659,0.916003,0.916003,0
10/27/2009,0.915919,0.921659,0.912409,0.917431,0.917431,0
10/28/2009,0.918527,0.919963,0.896459,0.898876,0.898876,0
10/29/2009,0.898796,0.918189,0.894775,0.914746,0.914746,0
10/30/2009,0.914662,0.9176,0.898069,0.900982,0.900982,0
11/2/2009,0.897183,0.911993,0.897183,0.905305,0.905305,0
11/3/2009,0.905387,0.909256,0.891902,0.904323,0.904323,0
11/4/2009,0.904241,0.91416,0.898392,0.909835,0.909835,0
11/5/2009,0.90876,0.912326,0.903016,0.910415,0.910415,0
11/6/2009,0.910001,0.919963,0.909918,0.918527,0.918527,0
11/9/2009,0.920471,0.931966,0.919963,0.931619,0.931619,0
11/10/2009,0.931532,0.93214,0.92584,0.930579,0.930579,0
11/11/2009,0.930839,0.934405,0.927386,0.930406,0.930406,0
11/12/2009,0.929973,0.936944,0.921404,0.925069,0.925069,0
11/13/2009,0.925241,0.934492,0.924129,0.933881,0.933881,0
11/16/2009,0.935366,0.940734,0.931793,0.93668,0.93668,0
11/17/2009,0.936593,0.937734,0.924214,0.931272,0.931272,0
11/18/2009,0.930579,0.933968,0.926784,0.928333,0.928333,0
11/19/2009,0.92816,0.928419,0.913492,0.919456,0.919456,0
11/20/2009,0.919202,0.921574,0.906536,0.91508,0.91508,0
11/23/2009,0.916003,0.927902,0.915583,0.923702,0.923702,0
11/24/2009,0.923361,0.923361,0.913576,0.921319,0.921319,0
11/25/2009,0.921404,0.932401,0.921404,0.929627,0.929627,0
11/26/2009,0.929541,0.929627,0.901226,0.904404,0.904404,0
11/27/2009,0.905387,0.910001,0.894935,0.907606,0.907606,0
11/30/2009,0.912326,0.919625,0.910913,0.9176,0.9176,0
12/1/2009,0.917768,0.927214,0.911079,0.925583,0.925583,0
12/2/2009,0.92584,0.929541,0.923361,0.927816,0.927816,0
12/3/2009,0.927816,0.93214,0.923361,0.924385,0.924385,0
12/4/2009,0.924385,0.928936,0.911079,0.915332,0.915332,0
12/7/2009,0.914662,0.919033,0.905633,0.915164,0.915164,0
12/8/2009,0.914829,0.91659,0.90212,0.902364,0.902364,0
12/9/2009,0.902853,0.911411,0.902527,0.909587,0.909587,0
12/10/2009,0.909587,0.918695,0.909504,0.916422,0.916422,0
12/11/2009,0.91659,0.919033,0.909339,0.912992,0.912992,0
12/14/2009,0.911494,0.917515,0.905715,0.915583,0.915583,0
12/15/2009,0.915583,0.916674,0.903914,0.906125,0.906125,0
12/16/2009,0.906125,0.9067,0.895977,0.899442,0.899442,0
12/17/2009,0.8992,0.900495,0.88129,0.885661,0.885661,0
12/18/2009,0.885269,0.891663,0.883392,0.890869,0.890869,0
12/21/2009,0.889521,0.890631,0.87858,0.880592,0.880592,0
12/22/2009,0.880824,0.883236,0.874508,0.876501,0.876501,0
12/23/2009,0.876808,0.881834,0.873897,0.879817,0.879817,0
12/24/2009,0.879972,0.886839,0.879894,0.884564,0.884564,0
12/25/2009,0.884564,0.886368,0.882768,0.885034,0.885034,0
12/28/2009,0.884486,0.889284,0.883002,0.886839,0.886839,0
12/29/2009,0.886839,0.899361,0.886368,0.893735,0.893735,0
12/30/2009,0.893575,0.895977,0.890393,0.894374,0.894374,0
12/31/2009,0.894614,0.901063,0.893176,0.898311,0.898311,0
1/1/2010,0.898311,0.898473,0.897827,0.898473,0.898473,0
1/4/2010,0.897424,0.91391,0.894214,0.912492,0.912492,0
1/5/2010,0.912825,0.917347,0.909504,0.911826,0.911826,0
1/6/2010,0.911826,0.921914,0.910415,0.920471,0.920471,0
1/7/2010,0.920302,0.926183,0.916422,0.917768,0.917768,0
1/8/2010,0.918021,0.925412,0.912992,0.925069,0.925069,0
1/11/2010,0.930665,0.932575,0.928591,0.929714,0.929714,0
1/12/2010,0.929195,0.930752,0.917179,0.920471,0.920471,0
1/13/2010,0.920726,0.926784,0.919202,0.924214,0.924214,0
1/14/2010,0.924385,0.932836,0.9243,0.931359,0.931359,0
1/15/2010,0.931185,0.931446,0.921829,0.922679,0.922679,0
1/18/2010,0.922339,0.927902,0.918021,0.927386,0.927386,0
1/19/2010,0.927042,0.927558,0.918021,0.922594,0.922594,0
1/20/2010,0.922594,0.923958,0.907523,0.911494,0.911494,0
1/21/2010,0.911494,0.914746,0.899685,0.904568,0.904568,0
1/22/2010,0.904241,0.909339,0.898796,0.901226,0.901226,0
1/25/2010,0.903914,0.909339,0.902283,0.904977,0.904977,0
1/26/2010,0.904895,0.908265,0.894214,0.900171,0.900171,0
1/27/2010,0.899766,0.904732,0.891663,0.896298,0.896298,0
1/28/2010,0.895817,0.904814,0.891663,0.893575,0.893575,0
1/29/2010,0.893815,0.896057,0.883704,0.88433,0.88433,0
2/1/2010,0.885818,0.892538,0.879198,0.891981,0.891981,0
2/2/2010,0.891583,0.892777,0.878272,0.887311,0.887311,0
2/3/2010,0.88739,0.891583,0.880824,0.882223,0.882223,0
2/4/2010,0.882223,0.882535,0.862813,0.868961,0.868961,0
2/5/2010,0.868508,0.87184,0.858369,0.868583,0.868583,0
2/8/2010,0.865951,0.870928,0.861772,0.863483,0.863483,0
2/9/2010,0.863632,0.87974,0.863558,0.877501,0.877501,0
2/10/2010,0.877347,0.879275,0.871232,0.876808,0.876808,0
2/11/2010,0.87727,0.891981,0.876808,0.890234,0.890234,0
2/12/2010,0.890472,0.891425,0.878966,0.889284,0.889284,0
2/15/2010,0.888178,0.891027,0.885269,0.889284,0.889284,0
2/16/2010,0.88881,0.90269,0.888021,0.901307,0.901307,0
2/17/2010,0.901469,0.903914,0.896941,0.898715,0.898715,0
2/18/2010,0.898957,0.90269,0.889284,0.88968,0.88968,0
2/19/2010,0.889996,0.900009,0.888021,0.900009,0.900009,0
2/22/2010,0.90082,0.902609,0.897586,0.900171,0.900171,0
2/23/2010,0.900658,0.907276,0.888415,0.892777,0.892777,0
2/24/2010,0.893017,0.895415,0.885975,0.894374,0.894374,0
2/25/2010,0.894935,0.895175,0.880437,0.886525,0.886525,0
2/26/2010,0.886918,0.897827,0.886918,0.895897,0.895897,0
3/1/2010,0.899038,0.901713,0.893895,0.900495,0.900495,0
3/2/2010,0.900171,0.905961,0.896781,0.904977,0.904977,0
3/3/2010,0.90465,0.908513,0.900901,0.905223,0.905223,0
3/4/2010,0.905387,0.905387,0.89815,0.899766,0.899766,0
3/5/2010,0.899847,0.909339,0.899604,0.907935,0.907935,0
3/8/2010,0.910167,0.913409,0.90777,0.908348,0.908348,0
3/9/2010,0.908595,0.916422,0.905797,0.915416,0.915416,0
3/10/2010,0.915583,0.919287,0.912825,0.91391,0.91391,0
3/11/2010,0.913993,0.917011,0.911577,0.915583,0.915583,0
3/12/2010,0.915751,0.919456,0.91416,0.914913,0.914913,0
