Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,0.705517,0.713776,0.691898,0.705020,0.705020,0
2009-01-02,0.705020,0.711997,0.692521,0.709320,0.709320,0
2009-01-05,0.715615,0.719424,0.706664,0.714286,0.714286,0
2009-01-06,0.713980,0.726375,0.703977,0.720357,0.720357,0
2009-01-07,0.719994,0.726005,0.709874,0.710278,0.710278,0
2009-01-08,0.710328,0.713419,0.696913,0.711997,0.711997,0
2009-01-09,0.711997,0.711997,0.702001,0.706814,0.706814,0
2009-01-12,0.699007,0.699594,0.678702,0.679532,0.679532,0
2009-01-13,0.679163,0.679302,0.659413,0.667601,0.667601,0
2009-01-14,0.667690,0.680828,0.658501,0.664717,0.664717,0
2009-01-15,0.664717,0.669299,0.654579,0.666578,0.666578,0
2009-01-16,0.667780,0.679209,0.665292,0.671006,0.671006,0
2009-01-19,0.679856,0.683901,0.666001,0.667379,0.667379,0
2009-01-20,0.667379,0.667913,0.645953,0.648887,0.648887,0
2009-01-21,0.649604,0.665646,0.646496,0.658285,0.658285,0
2009-01-22,0.658111,0.661507,0.649899,0.654579,0.654579,0
2009-01-23,0.655008,0.658805,0.642302,0.652316,0.652316,0
2009-01-26,0.652316,0.663218,0.649899,0.661857,0.661857,0
2009-01-27,0.661901,0.670916,0.658198,0.664540,0.664540,0
2009-01-28,0.664894,0.672179,0.660415,0.665203,0.665203,0
2009-01-29,0.665203,0.666001,0.649182,0.650195,0.650195,0
2009-01-30,0.650195,0.650406,0.635001,0.638488,0.638488,0
2009-02-02,0.635890,0.636213,0.625313,0.630517,0.630517,0
2009-02-03,0.630517,0.654279,0.630517,0.649140,0.649140,0
2009-02-04,0.649182,0.652997,0.636213,0.642715,0.642715,0
2009-02-05,0.643087,0.657678,0.641684,0.651763,0.651763,0
2009-02-06,0.651721,0.679995,0.649098,0.675721,0.675721,0
2009-02-09,0.673491,0.684791,0.663482,0.674809,0.674809,0
2009-02-10,0.674900,0.674900,0.649393,0.657203,0.657203,0
2009-02-11,0.657895,0.659500,0.649393,0.654108,0.654108,0
2009-02-12,0.653381,0.660982,0.643791,0.656814,0.656814,0
2009-02-13,0.657419,0.664099,0.653979,0.659500,0.659500,0
2009-02-16,0.652699,0.653894,0.647962,0.652869,0.652869,0
2009-02-17,0.652997,0.652997,0.634196,0.637308,0.637308,0
2009-02-18,0.637186,0.642797,0.634719,0.639304,0.639304,0
2009-02-19,0.639182,0.651890,0.639100,0.644288,0.644288,0
2009-02-20,0.644995,0.649266,0.636011,0.646204,0.646204,0
2009-02-23,0.644787,0.654793,0.640656,0.640656,0.640656,0
2009-02-24,0.640697,0.653851,0.639427,0.652401,0.652401,0
2009-02-25,0.651806,0.655480,0.645786,0.646998,0.646998,0
2009-02-26,0.646789,0.654707,0.646412,0.646914,0.646914,0
2009-02-27,0.646998,0.647794,0.634759,0.642219,0.642219,0
2009-03-02,0.634397,0.638040,0.628417,0.629485,0.629485,0
2009-03-03,0.629683,0.646287,0.629683,0.637918,0.637918,0
2009-03-04,0.637836,0.652614,0.629406,0.646998,0.646998,0
2009-03-05,0.646830,0.648382,0.636213,0.639018,0.639018,0
2009-03-06,0.639018,0.646120,0.637389,0.642013,0.642013,0
2009-03-09,0.643087,0.645203,0.630994,0.634800,0.634800,0
2009-03-10,0.634800,0.648761,0.634598,0.648088,0.648088,0
2009-03-11,0.648214,0.652401,0.640820,0.648214,0.648214,0
2009-03-12,0.648298,0.657246,0.641849,0.654151,0.654151,0
2009-03-13,0.654193,0.660110,0.652401,0.658415,0.658415,0
2009-03-16,0.656728,0.664011,0.655093,0.659587,0.659587,0
2009-03-17,0.659500,0.663086,0.657592,0.662998,0.662998,0
2009-03-18,0.663086,0.681385,0.657895,0.678380,0.678380,0
2009-03-19,0.678426,0.694011,0.672585,0.688089,0.688089,0
2009-03-20,0.688184,0.692809,0.685495,0.686813,0.686813,0
2009-03-23,0.691181,0.706015,0.690799,0.704176,0.704176,0
2009-03-24,0.703977,0.709320,0.694107,0.699007,0.699007,0
2009-03-25,0.699301,0.703977,0.690990,0.699007,0.699007,0
2009-03-26,0.699154,0.704176,0.698422,0.702494,0.702494,0
2009-03-27,0.702001,0.703087,0.687616,0.696621,0.696621,0
