Date,Open,High,Low,Close,Adj Close,Volume
2009-01-01,0.814863,0.821220,0.814863,0.818465,0.818465,0
2009-01-02,0.818063,0.829050,0.814730,0.826856,0.826856,0
2009-01-05,0.827746,0.842744,0.818800,0.841751,0.841751,0
2009-01-06,0.842034,0.850340,0.834168,0.844523,0.844523,0
2009-01-07,0.844523,0.849185,0.834098,0.835981,0.835981,0
2009-01-08,0.835981,0.849473,0.828500,0.846597,0.846597,0
2009-01-09,0.846812,0.846812,0.836400,0.839278,0.839278,0
2009-01-12,0.840054,0.841822,0.820412,0.822301,0.822301,0
2009-01-13,0.822166,0.822301,0.811622,0.817595,0.817595,0
2009-01-14,0.817394,0.825764,0.800448,0.802890,0.802890,0
2009-01-15,0.802697,0.805477,0.790014,0.798977,0.798977,0
2009-01-16,0.799169,0.811886,0.795988,0.805477,0.805477,0
2009-01-19,0.807037,0.808081,0.795608,0.797894,0.797894,0
2009-01-20,0.797703,0.798085,0.788768,0.790202,0.790202,0
2009-01-21,0.790264,0.797385,0.783576,0.793651,0.793651,0
2009-01-22,0.793525,0.798977,0.785731,0.798467,0.798467,0
2009-01-23,0.798531,0.813802,0.790826,0.813537,0.813537,0
2009-01-26,0.808016,0.823316,0.807494,0.817728,0.817728,0
2009-01-27,0.817795,0.822977,0.811491,0.816260,0.816260,0
2009-01-28,0.816326,0.831324,0.813537,0.824063,0.824063,0
2009-01-29,0.824063,0.824334,0.815461,0.816727,0.816727,0
2009-01-30,0.816727,0.818398,0.805607,0.815262,0.815262,0
2009-02-02,0.814399,0.814399,0.802568,0.802955,0.802955,0
2009-02-03,0.802890,0.813537,0.799424,0.811227,0.811227,0
2009-02-04,0.810767,0.817996,0.804894,0.812348,0.812348,0
2009-02-05,0.812348,0.817795,0.807754,0.812414,0.812414,0
2009-02-06,0.812282,0.820614,0.797830,0.820210,0.820210,0
2009-02-09,0.819471,0.824266,0.813273,0.819403,0.819403,0
2009-02-10,0.819471,0.820816,0.801025,0.805672,0.805672,0
2009-02-11,0.805477,0.807428,0.798403,0.805802,0.805802,0
2009-02-12,0.805802,0.807037,0.797321,0.804635,0.804635,0
2009-02-13,0.804699,0.813339,0.802568,0.808277,0.808277,0
2009-02-16,0.803729,0.806192,0.801025,0.805283,0.805283,0
2009-02-17,0.805348,0.805542,0.789391,0.791139,0.791139,0
2009-02-18,0.791264,0.797321,0.790451,0.793777,0.793777,0
